ID,ID_SRC,RA_1,DEC_1,EXT_LIKE,DET_LIKE,z,z_type,T_300kpc,T_300kpc_L,T_300kpc_U,L_300kpc,L_300kpc_L,L_300kpc_U,Lbol_300kpc,Lbol_300kpc_L,Lbol_300kpc_U,F_300kpc,F_300kpc_L,F_300kpc_U,T_500kpc,T_500kpc_L,T_500kpc_U,L_500kpc,L_500kpc_L,L_500kpc_U,Lbol_500kpc,Lbol_500kpc_L,Lbol_500kpc_U,F_500kpc,F_500kpc_L,F_500kpc_U,SNR_MAX,R_SNR_MAX,source_id,ref_epoch,ra_2,dec_2,parallax,pmra,pmdec,radial_velocity,propagated_epoch,propagated_dec,propagated_ra,GroupID,GroupSize,Separation
eFEDS J083532.5+030911,3198,128.88583213899972,3.1533118609777286,10.8208685,81.04606,0.2665799856185913,1,-1.0,-1.0,-1.0,7.5511E42,5.6886E42,9.0419E42,1.4193E43,1.0428E43,1.8508E43,3.4421E-14,2.5912E-14,4.1354E-14,-1.0,-1.0,-1.0,7.9609E42,5.8187E42,9.8085E42,1.495E43,1.0711E43,1.9851E43,3.6175E-14,2.6486E-14,4.5072E-14,6.08,0.7974,3080001930786796544,2016.0,128.88587748119005,3.1536630600869233,0.7095401594096719,0.5041961686361531,0.1257431297810653,,"(128.88587530705288, 3.1536625186928897, 0.7095401594096713, 0.5041961683736567, 0.12574313083360159, -1.3556737306494658E-7)",3.1536625186928897,128.88587530705288,,,1.2718687136094915
eFEDS J083723.6+012413,4731,129.34867916430602,1.4036721808321677,27.294195,69.26833,0.34881502389907837,1,-1.0,-1.0,-1.0,1.9908E43,1.7451E43,2.2733E43,4.8048E43,4.0471E43,5.7948E43,5.183E-14,4.5872E-14,5.9032E-14,-1.0,-1.0,-1.0,2.7415E43,2.405E43,3.0959E43,6.5672E43,5.5594E43,7.9362E43,7.0928E-14,6.2781E-14,8.0162E-14,7.66,1.6783,3078640288718038528,2016.0,129.3477982534761,1.3985272966174744,-0.054706277216832314,-0.12175403431548568,0.6619160553697242,,"(129.34779877785104, 1.3985244467011249, -0.05470627721683224, -0.12175403416763339, 0.6619160553969183, 2.949495480748339E-6)",1.3985244467011249,129.34779877785104,,,18.80075092718063
eFEDS J083856.9+030743,7902,129.73718698646337,3.1286667617362527,6.7005825,31.088778,0.240687,0,-1.0,-1.0,-1.0,3.2912E42,2.1987E42,4.4263E42,1.549E43,1.036E43,2.0815E43,2.1498E-14,1.4362E-14,2.8912E-14,-1.0,-1.0,-1.0,3.4151E42,2.2176E42,4.6305E42,1.608E43,1.0436E43,2.18E43,2.2308E-14,1.4484E-14,3.0246E-14,4.06,0.7809,3079964409952469120,2016.0,129.73819410888913,3.128175687174326,1.3961711260594627,0.5530783648732253,-0.7531728997129158,,"(129.73819172402597, 3.1281789300020866, 1.3961711260594594, 0.5530783665839802, -0.7531728984566493, -2.2278488489228854E-7)",3.1281789300020866,129.73819172402597,,,4.01601056531166
eFEDS J083930.3-014348,6979,129.8763469871974,-1.7301924790104313,7.7779417,22.526022,0.2713,0,-1.0,-1.0,-1.0,6.2763E42,3.9422E42,8.6399E42,1.1838E43,7.4958E42,1.6631E43,2.7391E-14,1.7119E-14,3.7959E-14,-1.0,-1.0,-1.0,7.5963E42,4.4896E42,1.1868E43,1.4455E43,8.5225E42,2.2613E43,3.3116E-14,1.9763E-14,5.1795E-14,4.55,1.2613,3073195507133270016,2016.0,129.8706549953166,-1.7296552497264015,0.3671525253238295,-0.03268909035830513,-0.46921500929908033,,"(129.87065513612546, -1.7296532294951115, 0.36715252532382925, -0.03268909032349942, -0.4692150093015045, -2.1464860142170497E-7)",-1.7296532294951115,129.87065513612546,,,20.573120962123497
eFEDS J083945.5+031556,7213,129.93958523192575,3.265655937612463,11.046921,32.863956,0.42495,0,-1.0,-1.0,-1.0,1.1868E43,7.3827E42,2.1758E43,2.2203E43,1.372E43,4.0053E43,1.49E-14,1.0037E-14,2.0267E-14,-1.0,-1.0,-1.0,1.233E43,7.5019E42,2.2866E43,2.3514E43,1.3942E43,4.2537E43,1.5442E-14,1.0249E-14,2.1242E-14,3.72,0.5191,3080060892097345792,2016.0,129.93566419186467,3.263252022888308,0.15990903786959898,-1.3561997062950835,0.6665262212297883,,"(129.93567004054128, 3.263249153122617, 0.15990903786959795, -1.3561997024220869, 0.6665262291102402, -5.087010586820454E-6)",3.263249153122617,129.93567004054128,,,16.525383805719798
eFEDS J084003.2+003008,2568,130.01374342482305,0.5022875022793208,19.141954,103.9756,0.384555,0,-1.0,-1.0,-1.0,-1.0,-1.0,8.3241E42,-1.0,-1.0,2.6632E43,-1.0,-1.0,1.8686E-14,-1.0,-1.0,-1.0,-1.0,-1.0,9.5237E42,-1.0,-1.0,3.0895E43,-1.0,-1.0,2.0844E-14,1.02,0.4789,3075253827261370112,2016.0,130.01928645920583,0.5006794897903555,0.1262199937881442,0.37264977809882355,-0.3168427435426298,,"(130.01928485468025, 0.5006808539743901, 0.12621999378814408, 0.3726497781763584, -0.3168427434514372, -6.752503777019379E-7)",0.5006808539743901,130.01928485468025,,,20.769975692755146
eFEDS J084011.6+034837,5544,130.0487471101187,3.8103503389334326,12.453061,39.29439,0.824565,0,-1.0,-1.0,-1.0,4.2171E43,3.1332E43,5.4296E43,1.8548E44,1.214E44,2.6263E44,1.7157E-14,1.3082E-14,2.1816E-14,-1.0,-1.0,-1.0,4.9611E43,3.6501E43,6.401E43,2.1404E44,1.378E44,3.1228E44,2.0401E-14,1.5097E-14,2.5991E-14,4.17,0.7143,3080153392808486656,2016.0,130.05176991717775,3.8071660083778798,-0.7926643547021045,-0.9938847052507513,0.044549279359398085,,"(130.05177420586796, 3.8071658165684727, -0.7926643547021022, -0.9938847050293333, 0.04454928429906388, 4.448180230046888E-7)",3.8071658165684727,130.05177420586796,,,15.800702476894475
eFEDS J084110.8+005200,5702,130.29528905418746,0.8667699283465942,7.132993,39.444313,0.41521,0,-1.0,-1.0,-1.0,1.2059E43,6.6743E42,3.1597E43,3.0813E43,1.6862E43,9.8092E43,1.6351E-14,1.0117E-14,2.1848E-14,-1.0,-1.0,-1.0,1.2821E43,6.9368E42,3.4884E43,3.3218E43,1.7333E43,1.0916E44,1.7247E-14,1.0564E-14,2.3864E-14,3.58,0.599,3078363177424582912,2016.0,130.29659736118882,0.8659846523672579,-0.3472536149033184,2.241385919006754,1.781121730804418,,"(130.29658770967487, 0.8659769836486825, -0.3472536149033104, 2.2413859144720867, 1.7811217365106875, 8.408026453978852E-6)",0.8659769836486825,130.29658770967487,,,5.477304804613798
eFEDS J084129.0+002645,5591,130.37084338431686,0.4460120824386309,10.18952,56.18972,0.40213000774383545,1,-1.0,-1.0,-1.0,2.2854E43,2.0077E43,2.5745E43,4.5198E43,3.9342E43,5.2963E43,4.0048E-14,3.5356E-14,4.5239E-14,-1.0,-1.0,-1.0,3.4752E43,3.0338E43,3.9241E43,6.8389E43,5.958E43,8.0E43,6.0816E-14,5.3334E-14,6.8599E-14,8.03,3.1371,3075330483836481408,2016.0,130.36974265296055,0.44794492619729986,-0.04224095202843442,0.07796113283917461,0.4588828439107747,,"(130.3697423172843, 0.4479429504517219, -0.04224095202843439, 0.07796113281815624, 0.45888284391434486, 1.8270726463338698E-6)",0.4479429504517219,130.3697423172843,,,8.00182594315549
eFEDS J084135.7-005048,4430,130.39884779502881,-0.8467796973344746,6.028528,59.98929,0.3276,0,-1.0,-1.0,-1.0,1.0011E43,6.8784E42,1.3366E43,2.9839E43,1.8745E43,4.6795E43,3.1197E-14,2.162E-14,4.087E-14,-1.0,-1.0,-1.0,1.0301E43,6.9186E42,1.3932E43,3.0795E43,1.9163E43,4.8703E43,3.2441E-14,2.1859E-14,4.2954E-14,5.54,0.6584,3074903392289406720,2016.0,130.39818922790042,-0.848070968911888,0.3560875038771596,-0.07222575326530245,-0.00767563526439119,,"(130.39818953890648, -0.8480709358640139, 0.3560875038771596, -0.07222575326468579, -0.007675635270193915, -5.2775557389357306E-9)",-0.8480709358640139,130.39818953890648,,,5.217520727998554
