ID,ID_SRC,RA_1,DEC_1,EXT_LIKE,DET_LIKE,z,z_type,T_300kpc,T_300kpc_L,T_300kpc_U,L_300kpc,L_300kpc_L,L_300kpc_U,Lbol_300kpc,Lbol_300kpc_L,Lbol_300kpc_U,F_300kpc,F_300kpc_L,F_300kpc_U,T_500kpc,T_500kpc_L,T_500kpc_U,L_500kpc,L_500kpc_L,L_500kpc_U,Lbol_500kpc,Lbol_500kpc_L,Lbol_500kpc_U,F_500kpc,F_500kpc_L,F_500kpc_U,SNR_MAX,R_SNR_MAX,source_id,ref_epoch,ra_2,dec_2,parallax,pmra,pmdec,radial_velocity,propagated_epoch,propagated_dec,propagated_ra,GroupID,GroupSize,Separation
eFEDS J082626.5-003429,28993,126.61079874875323,-0.5747865732441608,8.486203,5.0297227,0.16111,0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5444E42,-1.0,-1.0,1.6266E43,-1.0,-1.0,5.4524E-14,-1.0,-1.0,-1.0,-1.0,-1.0,3.9249E42,-1.0,-1.0,1.782E43,-1.0,-1.0,6.0404E-14,1.32,0.8011,3076438757198627840,2016.0,126.67592859083784,-0.6082462771972852,0.20761400547416606,0.025650120689001642,0.1748552205115609,,"(126.6759284803936, -0.6082470300461514, 0.20761400547416597, 0.025650120692579697, 0.17485522051103594, -5.3588920227643194E-8)",-0.6082470300461514,126.6759284803936,1,3,263.5886442119082
eFEDS J082626.5-003429,28993,126.61079874875323,-0.5747865732441608,8.486203,5.0297227,0.16111,0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5444E42,-1.0,-1.0,1.6266E43,-1.0,-1.0,5.4524E-14,-1.0,-1.0,-1.0,-1.0,-1.0,3.9249E42,-1.0,-1.0,1.782E43,-1.0,-1.0,6.0404E-14,1.32,0.8011,3076440097228483840,2016.0,126.65421646384098,-0.5286813881684319,-0.8985471931721511,-1.3633257350351864,0.8157530522474855,,"(126.65422233396558, -0.5286849004385151, -0.8985471931721447, -1.3633257358063369, 0.8157530509586576, 1.0006804413297875E-6)",-0.5286849004385151,126.65422233396558,1,3,227.99107361468526
eFEDS J082626.5-003429,28993,126.61079874875323,-0.5747865732441608,8.486203,5.0297227,0.16111,0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5444E42,-1.0,-1.0,1.6266E43,-1.0,-1.0,5.4524E-14,-1.0,-1.0,-1.0,-1.0,-1.0,3.9249E42,-1.0,-1.0,1.782E43,-1.0,-1.0,6.0404E-14,1.32,0.8011,3076486929553277312,2016.0,126.60271791525525,-0.5377981588676681,-0.1884693762585258,-1.291203008368048,-0.1533578951609968,,"(126.60272347484646, -0.5377974985767282, -0.18846937625852492, -1.2912030082283612, -0.15335789633698846, 3.1956550567158608E-6)",-0.5377974985767282,126.60272347484646,1,3,136.29675804151037
eFEDS J082808.7-001003,4800,127.03664479111386,-0.16771519006522811,28.492811,62.51248,0.076155,0,0.8852939485164333,0.7863289638658808,0.9917568925391209,2.5925E42,2.2179E42,2.9792E42,4.0302E42,3.4494E42,4.6252E42,1.8018E-13,1.5431E-13,2.0656E-13,0.8838091899100241,0.7910142425012437,0.977674711959912,2.8431E42,2.3391E42,3.4247E42,4.4023E42,3.6402E42,5.339E42,1.9761E-13,1.6244E-13,2.3826E-13,8.78,2.6312,3076876603344025088,2016.0,127.04311126206248,-0.12654526364298282,-0.041323190627210946,-0.17667223388928066,-0.002945248982767051,,"(127.04311202273647, -0.12654525096204972, -0.04132319062721094, -0.17667223388919426, -0.002945248987947495, 2.691481762544338E-7)",-0.12654525096204972,127.04311202273647,2,2,150.02926868294654
eFEDS J082820.5-000721,4169,127.08555578945551,-0.1227516578044756,42.376125,81.37835,0.8449,0,-1.0,-1.0,-1.0,1.5171E44,1.2171E44,1.84E44,4.0737E44,3.2621E44,5.3554E44,5.121E-14,4.1829E-14,6.0165E-14,-1.0,-1.0,-1.0,2.3089E44,1.8906E44,2.7622E44,6.2076E44,5.0898E44,8.0136E44,7.7966E-14,6.5551E-14,8.9614E-14,7.3,1.4667,3076876603344025088,2016.0,127.04311126206248,-0.12654526364298282,-0.041323190627210946,-0.17667223388928066,-0.002945248982767051,,"(127.04311202273647, -0.12654525096204972, -0.04132319062721094, -0.17667223388919426, -0.002945248987947495, 2.691481762544338E-7)",-0.12654525096204972,127.04311202273647,2,2,153.40630943701075
eFEDS J082859.9+010756,14973,127.24997352534432,1.1323138072329706,19.179321,14.365816,0.354,0,-1.0,-1.0,-1.0,8.6121E42,5.8211E42,1.2569E43,3.0366E43,1.8233E43,4.9607E43,2.3027E-14,1.5495E-14,3.3482E-14,-1.0,-1.0,-1.0,1.8516E43,1.3129E43,2.4519E43,6.4811E43,4.0815E43,9.9632E43,4.9244E-14,3.5102E-14,6.5597E-14,4.29,3.157,3077822428158026880,2016.0,127.23625125538466,1.1244299803485165,0.20666417171569754,-0.06482952340871792,0.18334363306612658,,"(127.23625153456553, 1.1244291909523185, 0.20666417171569748, -0.06482952339118672, 0.18334363307232546, -6.518663445580668E-8)",1.1244291909523185,127.23625153456553,3,2,56.96505878082961
eFEDS J082859.9+010756,14973,127.24997352534432,1.1323138072329706,19.179321,14.365816,0.354,0,-1.0,-1.0,-1.0,8.6121E42,5.8211E42,1.2569E43,3.0366E43,1.8233E43,4.9607E43,2.3027E-14,1.5495E-14,3.3482E-14,-1.0,-1.0,-1.0,1.8516E43,1.3129E43,2.4519E43,6.4811E43,4.0815E43,9.9632E43,4.9244E-14,3.5102E-14,6.5597E-14,4.29,3.157,3077870355697629440,2016.0,127.21150757658872,1.1858971471243398,0.3471546250686909,-1.1021349927109458,-0.05198803608581244,,"(127.21151232290879, 1.1858973709617133, 0.34715462506868966, -1.1021349928000697, -0.051988034196243725, -1.2492227462424517E-6)",1.1858973709617133,127.21151232290879,3,2,237.43240353725497
eFEDS J082955.4+004131,3810,127.48099892565416,0.6921992234211755,24.177258,80.255554,0.939855,0,-1.0,-1.0,-1.0,1.394E44,1.1314E44,1.7077E44,4.9716E44,3.8165E44,7.4643E44,4.0382E-14,3.3478E-14,4.7755E-14,-1.0,-1.0,-1.0,1.9164E44,1.5773E44,2.3182E44,6.9308E44,5.228E44,1.0038E45,5.5642E-14,4.69E-14,6.4351E-14,6.96,1.2089,3077040224418380032,2016.0,127.4300124787306,0.7058823879906502,0.26793714883742825,0.11779963881785929,-0.11444633870131736,,"(127.43001197149924, 0.7058828807457196, 0.2679371488374282, 0.11779963883034127, -0.11444633868846961, -3.5863445537152344E-8)",0.7058828807457196,127.43001197149924,4,2,190.03516543119795
eFEDS J082955.4+004131,3810,127.48099892565416,0.6921992234211755,24.177258,80.255554,0.939855,0,-1.0,-1.0,-1.0,1.394E44,1.1314E44,1.7077E44,4.9716E44,3.8165E44,7.4643E44,4.0382E-14,3.3478E-14,4.7755E-14,-1.0,-1.0,-1.0,1.9164E44,1.5773E44,2.3182E44,6.9308E44,5.228E44,1.0038E45,5.5642E-14,4.69E-14,6.4351E-14,6.96,1.2089,3077044867278090368,2016.0,127.52871104748992,0.6819426035874802,2.252228601323209,9.301128519070966,-20.945477570934475,,"(127.52867099812693, 0.6820327855046328, 2.2522286013198687, 9.301128693307065, -20.945477493488163, -8.30730432418155E-5)",0.6820327855046328,127.52867099812693,4,2,175.46653038248425
eFEDS J083125.9+015533,2659,127.85804170868691,1.925897930055847,47.5197,110.47081,0.68448,0,-1.0,-1.0,-1.0,9.0403E43,7.4263E43,1.0543E44,1.8639E44,1.549E44,2.1793E44,4.4367E-14,3.6898E-14,5.1352E-14,-1.0,-1.0,-1.0,1.5108E44,1.3136E44,1.7298E44,3.12E44,2.7115E44,3.5628E44,7.4113E-14,6.4915E-14,8.3699E-14,9.18,2.0075,3079422664252895744,2016.0,127.83424995132297,1.8585577847060075,0.03539025124542169,0.20806909246170674,-0.38929632153848515,,"(127.83424905499842, 1.8585594608429472, 0.03539025124542167, 0.20806909265922163, -0.38929632143291776, -1.96124672365656E-6)",1.8585594608429472,127.83424905499842,,,257.08997500505694
